"","subject","correct_judgment","button_expected","pic_file","trial","button_pressed","button_press_time","display_on_time","rt","response_accuracy","particle","version","sentence","logRT","foc","congruence"
"2172","v3p4","no","2","22_subj-nichtnur-no_trgt4_throw away.png","87","2","1191369.00","1188777.05",2591,"correct","only","3","Misie wyrzucił nie tylko pies.",7.85979918056211,"subj","incongruent"
"2173","v3p4","no","2","23_filler-no_Trgt-5_steal.png","60","2","882926.00","877745.11",5180,"correct","filler","3","Lew ukradł trzy talerze.",8.55256033525353,"obj","incongruent"
"2174","v3p4","no","2","23_most-no-sfof_trgt4_steal.png","102","2","1351742.00","1347667.82",4074,"correct","most","3","Najwięcej królik ukradł cytryn.",8.31238059678675,"obj","incongruent"
"2175","v3p4","no","2","24_filler-no_Trgt-4_steal.png","83","2","1150952.00","1146612.83",4339,"correct","filler","3","Prosiaczek ukradł sześć kapeluszy.",8.37539918579835,"obj","incongruent"
"2176","v3p4","no","2","24_most-no-sfof_trgt4_steal.png","94","2","1266069.00","1259339.61",6729,"correct","most","3","Najwięcej noży ukradł królik.",8.81418182318832,"subj","incongruent"
"2177","v3p4","no","2","3_filler-no_Trgt-3_break.png","68","2","961947.00","958507.07",3439,"correct","filler","3","Osioł popsuł parę zegarów.",8.14293601043227,"obj","incongruent"
"2178","v3p4","no","2","3_most-no-sfof_trgt3_break.png","39","2","622811.00","617610.21",5200,"correct","most","3","Najwięcej prosiaczek popsuł telefonów.",8.55641390456952,"obj","incongruent"
"2179","v3p4","no","2","4_filler-no_Trgt-4_break.png","76","2","1046169.00","1041335.61",4833,"correct","filler","3","Pies popsuł kilka suszarek.",8.48322267184508,"obj","incongruent"
"2180","v3p4","no","2","4_most-no-sfof_trgt4_break.png","79","2","1110408.00","1103865.32",6542,"correct","most","3","Najwięcej zszywaczy popsuł osioł.",8.78599820809833,"subj","incongruent"
"2181","v3p4","no","2","5_filler-no_Trgt-6_buy.png","61","2","893146.00","887777.85",5368,"correct","filler","3","Lew kupił kilka butelek.",8.58821067865152,"obj","incongruent"
"2182","v3p4","no","2","5_obj-nichtnur-no_trgt3_buy.png","78","2","1066695.00","1062351.05",4343,"correct","only","3","Pies kupił nie tylko pomidory.",8.37632063253482,"obj","incongruent"
"2183","v3p4","no","2","6_filler-no_Trgt-4_buy.png","12","2","268939.00","263264.11",5674,"correct","filler","3","Prosiaczek kupił kilka hotdogów.",8.6436496153688,"obj","incongruent"
"2184","v3p4","no","2","6_subj-nichtnur-no_trgt4_buy.png","70","2","984111.00","979855.84",4255,"correct","only","3","Szczoteczki kupił nie tylko prosiaczek.",8.35585004100747,"subj","incongruent"
"2185","v3p4","no","2","7_filler-no_Trgt-3_collect.png","101","2","1341558.00","1336701.79",4856,"correct","filler","3","Lew zebrał parę róż.",8.48797033273933,"obj","incongruent"
"2186","v3p4","no","2","7_most-no-sfof_trgt6_collect.png","62","2","901378.00","897893.93",3484,"correct","most","3","Najwięcej miś zebrał grzybów.",8.15593633797239,"obj","incongruent"
"2188","v3p4","no","2","8_most-no-sfof_trgt6_collect.png","23","2","395139.00","390440.05",4698,"correct","most","3","Najwięcej kamieni zebrał miś.",8.45489216521886,"subj","incongruent"
"2189","v3p4","no","2","9_filler-no_Trgt-6_find.png","19","2","351646.00","347025.91",4620,"correct","filler","3","Królik znalazł trzy cygara.",8.43814998407578,"obj","incongruent"
"2190","v3p4","no","2","9_obj-nichtnur-no_trgt6_find.png","47","2","712523.00","708488.26",4034,"correct","only","3","Prosiaczek znalazł nie tylko klucze.",8.30251371851416,"obj","incongruent"
"2191","v3p4","no","2","practice_4.png","4","2","142142.00","135571.52",6570,"correct","practice","3","Pies znalazł siedem kul.",8.79026911147866,"obj","incongruent"
"2192","v3p4","no","2","practice_5.png","2","2","119976.00","114472.75",5503,"correct","practice","3","Osioł namalował wiele ludzików.",8.61304867705976,"obj","incongruent"
"2193","v3p4","no","2","practice_6.png","3","2","129521.00","125988.73",3532,"correct","practice","3","Lew nie wygrał żadnych chorągiewek.",8.16961956172385,"obj","incongruent"
"2194","v3p4","yes","4","1_filler-yes_Trgt-3_eat.png","64","4","924888.00","918826.03",6061,"correct","filler","3","Pies zjadł parę główek kapusty.",8.70963008195129,"obj","congruent"
"2195","v3p4","yes","4","1_most-yes-sfot_trgt6_eat.png","58","4","861238.00","855729.73",5508,"correct","only","3","Lew zjadł nie tylko ciastka.",8.61395685984855,"obj","congruent"
"2196","v3p4","yes","4","10_filler-yes_Trgt-3_find.png","89","4","1214688.00","1210525.77",4162,"correct","filler","3","Pies znalazł trzy żarówki.",8.33375100695358,"obj","congruent"
"2197","v3p4","yes","4","10_most-yes-stot_trgt3_find.png","44","2","678179.00","672423.68",5755,"incorrect","only","3","Okulary znalazł nie tylko osioł.",8.65782432115598,"subj","congruent"
"2198","v3p4","yes","4","11_filler-yes_Trgt-5_catch.png","69","4","973038.00","967289.90",5748,"correct","filler","3","Lew złapał dużo żabek.",8.65660724719891,"obj","congruent"
"2199","v3p4","yes","4","11_most-yes-sfot_trgt5_catch.png","88","2","1202714.00","1199209.77",3504,"incorrect","most","3","Najwięcej królik złapał biedronek.",8.16166045205628,"obj","congruent"
"2200","v3p4","yes","4","12_filler-yes_Trgt-6_catch.png","45","4","691438.00","684172.99",7265,"correct","filler","3","Prosiaczek złapał sześć mrówek.",8.89082357600438,"obj","congruent"
"2201","v3p4","yes","4","12_most-yes-stot_trgt3_catch.png","18","4","341965.00","334943.28",7021,"correct","most","3","Najwięcej balonów złapał królik.",8.85666093701725,"subj","congruent"
"2202","v3p4","yes","4","13_filler-yes_Trgt-5_bring.png","34","4","565060.00","557930.34",7129,"correct","filler","3","Lew przyniósł pięć długopisów.",8.87192625111763,"obj","congruent"
"2203","v3p4","yes","4","13_most-yes-sfot_trgt5_bring.png","53","2","767314.00","762135.14",5178,"incorrect","only","3","Miś przyniósł nie tylko spinacze.",8.55217416031148,"obj","congruent"
"2204","v3p4","yes","4","14_filler-yes_Trgt-3_bring.png","11","4","257218.00","253531.33",3686,"correct","filler","3","Prosiaczek przyniósł trzy młotki.",8.21229713822977,"obj","congruent"
"2205","v3p4","yes","4","14_most-yes-stot_trgt5_bring.png","100","4","1331504.00","1327852.30",3651,"correct","only","3","Kredki przyniósł nie tylko miś.",8.20275638165564,"subj","congruent"
"2206","v3p4","yes","4","15_filler-yes_Trgt-6_paint.png","27","4","442676.00","436970.70",5705,"correct","filler","3","Królik namalował sześć kresek.",8.64909826229618,"obj","congruent"
"2207","v3p4","yes","4","15_most-yes-sfot_trgt6_paint.png","97","2","1299667.00","1293320.99",6346,"incorrect","most","3","Najwięcej osioł namalował chmurek.",8.75557997214314,"obj","congruent"
"2208","v3p4","yes","4","16_filler-yes_Trgt-5_paint.png","95","4","1277040.00","1271905.56",5134,"correct","filler","3","Miś namalował pięć kwiatków.",8.54364036143109,"obj","congruent"
"2209","v3p4","yes","4","16_most-yes-stot_trgt5_paint.png","71","4","992938.00","989671.93",3266,"correct","most","3","Najwięcej kółek namalował pies.",8.09132127353041,"subj","congruent"
"2210","v3p4","yes","4","17_filler-yes_Trgt-6_take.png","14","4","291487.00","286246.11",5240,"correct","filler","3","Pies zabrał sześć zapałek.",8.56407677731509,"obj","congruent"
"2211","v3p4","yes","4","17_most-yes-sfot_trgt3_take.png","73","4","1015720.00","1009354.14",6365,"correct","only","3","Lew zabrał nie tylko torebki.",8.75856951099151,"obj","congruent"
"2212","v3p4","yes","4","18_filler-yes_Trgt-5_take.png","42","4","655602.00","650474.97",5127,"correct","filler","3","Osioł zabrał pięć piór.",8.5422759717837,"obj","congruent"
